ID,Сколько Вам лет?,Укажите Ваш пол?,Сколько часов в сутки Вы тратите на компьютерные игры?,Сколько дней в неделю Вы играете в компьютерные игры?,Какой тип игр Вы предпочитаете?,Как часто Вы играете в игры с вашими друзьями?,Компьютерные игры играют значительную роль в Вашей жизни?,Вы зависимы от компьютерных игр?,Назовите Ваш любимый игровой жанр?,Назовите Вашу любимую игру?,Насколько Вы счастливы? / Общее счастье,Насколько Вы счастливы? / Личная жизнь,Насколько Вы счастливы? / Работа/Учеба,Как часто Вы испытываете следующие чувства? / Радость,Как часто Вы испытываете следующие чувства? / Стресс
1855465575,19,Мужчина,3,1,Одиночные,Чаще играю с друзьями,Да,Нет,Приключения,The Last Of Us,7,3,8,4,2
1856114803,20,Мужчина,4,6,Мультиплеер,Играю только с друзьями,Да,Да,Экшн,Deadlock,7,7,4,5,3
1856117571,19,Мужчина,0,1,Мультиплеер,Чаще играю с друзьями,Да,Нет,Экшн,valorant,7,4,7,4,3
1856208774,20,Мужчина,1,2,Мультиплеер,Играю только с друзьями,Да,Нет,Ролевые игры,тупик,7,10,3,4,2
1856316803,20,Мужчина,0,0,Одиночные,Не играю с друзьями,Нет,Нет,Приключения,The Witcher 3,8,9,7,4,1
1856323161,19,Мужчина,3,7,Мультиплеер,Играю с друзьями и наедине поровну,Нет,Нет,MOBA,"SMITE, Minectaft",7,10,8,5,5
1856334638,20,Мужчина,3,4,Мультиплеер,Чаще играю с друзьями,Да,Да,Экшн,CS,7,2,5,4,1
1856325289,21,Женщина,5,7,Одиночные,Чаще играю один,Да,Да,Приключения,Stardew valley ,10,7,10,5,3
1856329943,19,Мужчина,3,4,Мультиплеер,Играю только с друзьями,Да,Да,MOBA,Dora 2,6,6,6,3,3
1856330630,19,Мужчина,2,7,Одиночные,Чаще играю один,Да,Нет,Приключения,Genshin Impact,8,9,8,3,3
1856331876,20,Мужчина,3,3,Мультиплеер,Играю с друзьями и наедине поровну,Да,Нет,Экшн,Enderal,8,1,6,5,4
1856338180,20,Мужчина,3,6,Одиночные,Чаще играю с друзьями,Да,Да,Стратегии,gta 4 ,6,2,4,4,1
1856341158,20,Мужчина,1,1,Одиночные,Чаще играю один,Нет,Нет,Стратегии,Pathalogic 2,5,8,7,3,5
1856342228,21,Мужчина,12,7,Мультиплеер,Чаще играю с друзьями,Да,Да,MOBA,DOTA 2,10,2,6,5,1
1856343554,21,Женщина,2,4,Одиночные,Чаще играю один,Да,Да,Приключения,Ведьмак 3,8,9,4,3,4
1856343886,1,Женщина,24,7,Одиночные,Играю только с друзьями,Нет,Нет,Головоломки,Пасьянс,10,1,1,1,1
1856346441,20,Мужчина,5,4,Мультиплеер,Чаще играю с друзьями,Да,Да,MOBA,Prototype 2,8,9,7,4,4
1856484736,21,Мужчина,6,7,Мультиплеер,Играю с друзьями и наедине поровну,Да,Да,MOBA,Dota 2,8,3,5,5,1
1856772760,21,Мужчина,7,7,Мультиплеер,Играю с друзьями и наедине поровну,Да,Да,Стратегии,World of warcraft,7,6,6,4,3
1856907712,20,Женщина,4,6,Мультиплеер,Играю с друзьями и наедине поровну,Да,Нет,Стратегии,Diablo 2,10,5,8,4,2
1857034677,20,Мужчина,8,6,Мультиплеер,Чаще играю один,Да,Да,Стратегии,Дота 2,5,1,1,3,5
